,station_name,total_departures,latitude,longitude
1584,W 20 St & 8 Ave,54858,40.7435,-74.0
1652,W 63 St & Broadway,54854,40.7716,-73.9826
489,Broadway & W 38 St,54779,40.753,-73.9873
771,E 20 St & 2 Ave,54764,40.7359,-73.9821
496,Broadway & W 61 St,54732,40.77,-73.982
801,E 44 St & Lexington Ave,54667,40.7526,-73.975
1630,W 44 St & 5 Ave,54624,40.755,-73.9801
533,Carmine St & 6 Ave,54515,40.7304,-74.0021
774,E 20 St & Park Ave,54238,40.7383,-73.9875
623,Cooper Square & Astor Pl,53879,40.7295,-73.9908
840,E 7 St & Avenue A,53749,40.7262,-73.9838
781,E 27 St & 1 Ave,53619,40.7394,-73.9768
1231,Mott St & Prince St,53574,40.7232,-73.9948
330,8 Ave & W 49 St,53507,40.7617,-73.9866
777,E 23 St & 1 Ave,53391,40.7365,-73.9781
494,Broadway & W 56 St,53033,40.7653,-73.9819
911,Forsyth St\t& Grand St,52973,40.7178,-73.9932
1697,Washington Square E,52771,40.7305,-73.9957
561,Central Park North & Adam Clayton Powell Blvd,52691,40.7995,-73.9556
569,Central Park West & W 85 St,52636,40.7848,-73.9699
692,E 11 St & 1 Ave,52581,40.7295,-73.9843
1651,W 59 St & 10 Ave,52391,40.7705,-73.988
4,1 Ave & E 39 St,52287,40.7471,-73.9711
1380,S 5 Pl & S 5 St,52227,40.7105,-73.9609
1626,W 42 St & 8 Ave,52120,40.7576,-73.991
1637,W 49 St & 8 Ave,51979,40.7623,-73.9879
896,FDR Drive & E 35 St,51933,40.7442,-73.9712
1607,W 34 St & 11 Ave,51930,40.7559,-74.0021
1028,Henry St & Grand St,51703,40.7142,-73.9811
770,E 2 St & Avenue C,51521,40.7209,-73.9809
1600,W 29 St & 9 Ave,51437,40.7501,-73.9984
1357,Riverside Blvd & W 67 St,51437,40.7775,-73.9889
741,E 16 St & Irving Pl,51262,40.7354,-73.988
492,Broadway & W 51 St,51004,40.7623,-73.9834
1512,University Pl & E 8 St,50863,40.7314,-73.9949
1633,W 47 St & 10 Ave,50843,40.7627,-73.993
1480,Sullivan St & Washington Sq,50760,40.7305,-73.9991
768,E 2 St & Avenue A,50650,40.7231,-73.9858
1043,Hudson St & W 13 St,50468,40.7401,-74.0053
1654,W 67 St & Broadway,50275,40.7749,-73.9827
1615,W 37 St & 10 Ave,50238,40.7566,-73.9979
1153,MacDougal St & Prince St,49890,40.7271,-74.003
1695,Washington Pl & 6 Ave,49691,40.7322,-74.0003
1595,W 24 St & 7 Ave,49655,40.7449,-73.9953
564,Central Park W & W 91 St,49533,40.7887,-73.9668
1644,W 53 St & 10 Ave,49388,40.7667,-73.9906
793,E 4 St & 2 Ave,49281,40.7263,-73.9898
1597,W 26 St & 10 Ave,49261,40.7497,-74.003
805,E 47 St & Park Ave,49092,40.7551,-73.975
1018,Hanson Pl & Ashland Pl,48990,40.6851,-73.9779
462,Broadway & E 19 St,48949,40.7387,-73.9899
1005,Greenwich St & W Houston St,48840,40.7288,-74.0086
785,E 30 St & Park Ave S,48821,40.7444,-73.983
493,Broadway & W 53 St,48546,40.7634,-73.9827
722,E 14 St & Avenue B,48440,40.7294,-73.9777
499,Broadway\t& W 48 St,48390,40.7602,-73.9849
1646,W 54 St & 9 Ave,48371,40.7658,-73.9869
1098,LaGuardia Pl & W 3 St,48343,40.7292,-73.9981
732,E 15 St & 3 Ave,48295,40.7342,-73.9869
318,7 Ave S & Bleecker St,48238,40.7321,-74.0036
1489,Thompson St & Bleecker St,48172,40.7284,-73.9997
359,Allen St & Hester St,48033,40.7161,-73.9919
1638,W 50 St & 10 Ave,47922,40.7647,-73.9919
1631,W 45 St & 8 Ave,47749,40.7593,-73.9886
721,E 14 St & 1 Ave,47616,40.7314,-73.9829
772,E 20 St & FDR Dr,47370,40.7332,-73.9757
1145,Little West St & 1 Pl,47118,40.7057,-74.0168
284,6 Ave & Broome St,47114,40.7243,-74.0047
1640,W 51 St & 6 Ave,47065,40.7607,-73.9804
1549,W 13 St & 7 Ave,47055,40.7378,-73.9999
25,11 Ave & W 59 St,46936,40.7715,-73.9905
243,5 Ave & E 78 St,46870,40.7763,-73.9643
1696,Washington Pl & Broadway,45937,40.729,-73.994
1570,W 17 St & 8 Ave,45759,40.7418,-74.0015
682,E 10 St & 2 Ave,45447,40.7297,-73.9866
3,1 Ave & E 30 St,45341,40.7414,-73.9754
1426,Spring St & Hudson St,45322,40.7258,-74.0077
693,E 11 St & 3 Ave,45304,40.7313,-73.9885
1539,W 11 St & 6 Ave,45274,40.7353,-73.998
816,E 53 St & Lexington Ave,45094,40.7583,-73.9707
1712,West Drive & Prospect Park West,44823,40.6611,-73.9795
460,Broadway & Berry St,44796,40.7104,-73.9653
776,E 22 St & 2 Ave,44365,40.7372,-73.9812
710,E 13 St & Avenue A,44146,40.7297,-73.9807
1653,W 64 St & Thelonious Monk Circle,44110,40.7752,-73.9892
792,E 39 St & Lexington Ave,44005,40.7495,-73.9773
782,E 27 St & Park Ave S,43887,40.7428,-73.9847
1377,S 3 St & Bedford Ave,43474,40.7126,-73.9626
1647,W 55 St & 6 Ave,43324,40.7632,-73.9784
1454,Stanton St & Chrystie St,43307,40.7223,-73.9915
828,E 6 St & Avenue B,43273,40.7245,-73.9819
1720,West Thames St,43178,40.7083,-74.0171
412,Barrow St & Hudson St,43169,40.7317,-74.0067
1369,Rivington St & Ridge St,42836,40.7185,-73.9833
1456,Stanton St & Norfolk St,42784,40.7207,-73.9863
1347,Queens Plaza North & Crescent St,42576,40.7511,-73.9407
787,E 32 St & Park Ave,42329,40.7457,-73.9819
240,5 Ave & E 29 St,42258,40.7452,-73.9868
1436,St Marks Pl & 1 Ave,42224,40.7278,-73.9856
435,Berry St & N 8 St,42147,40.719,-73.9585
1165,Madison Ave & E 26 St,41712,40.7427,-73.9867
797,E 41 St & Madison Ave (SE corner),41615,40.752,-73.9796
940,Fulton St & Broadway,41433,40.7111,-74.0094
1364,Riverside Dr & W 72 St,41423,40.7806,-73.9856
395,Ave A & E 11 St,41367,40.7285,-73.9818
1627,W 42 St & Dyer Ave,41254,40.759,-73.9938
909,Forsyth St & Canal St,41233,40.7158,-73.9942
694,E 11 St & Avenue B,41202,40.7275,-73.9795
1204,Milton St & Franklin St,40842,40.7291,-73.9578
1545,W 12 St & Hudson St,40770,40.7375,-74.0056
1134,Lexington Ave & E 29 St,40757,40.7431,-73.9822
804,E 47 St & 2 Ave,40665,40.7532,-73.9703
824,E 58 St & 3 Ave,40606,40.761,-73.9672
939,Fulton St & Adams St,40563,40.6924,-73.9895
864,E 9 St & 5 Ave,40529,40.7328,-73.9958
1235,Murray St & Greenwich St,40441,40.7149,-74.0112
1660,W 84 St & Columbus Ave,40389,40.785,-73.9728
1304,Perry St & Greenwich Ave,40370,40.7359,-74.0009
866,E 91 St & 2 Ave,39754,40.7812,-73.9496
1614,W 36 St & 9 Ave,39731,40.7546,-73.9952
808,E 5 St & Ave A,39479,40.7248,-73.9843
829,E 6 St & Avenue D,39383,40.7223,-73.9767
1135,Lexington Ave & E 36 St,39335,40.7476,-73.9788
100,3 Ave & E 62 St,39263,40.7631,-73.9653
565,Central Park W & W 97 St,39223,40.7925,-73.9642
922,Frederick Douglass Blvd & W 117 St,39134,40.8052,-73.9547
1198,Mercer St & Spring St,39061,40.7236,-73.9995
1609,W 34 St &\tHudson Blvd E,39014,40.7552,-74.0006
1303,Perry St & Bleecker St,38894,40.7354,-74.0048
855,E 84 St & 1 Ave,38881,40.7757,-73.9507
1533,W 100 St & Broadway,38595,40.7974,-73.9704
1649,W 56 St & 6 Ave,38546,40.7634,-73.9772
613,Columbus Ave & W 95 St,38461,40.792,-73.9681
920,Frederick Douglass Blvd & W 112 St,38386,40.8017,-73.9571
766,E 19 St & 3 Ave,38011,40.7362,-73.9847
568,Central Park West & W 76 St,37894,40.779,-73.9737
672,Driggs Ave & N 9 St,37757,40.7182,-73.9552
1155,MacDougal St & Washington Sq,37683,40.7323,-73.9985
1639,W 50 St & 9 Ave,37619,40.7636,-73.9892
245,5 Ave & E 93 St,37524,40.7858,-73.9575
778,E 25 St & 1 Ave,37496,40.7382,-73.9774
1616,W 37 St & 5 Ave,37398,40.7504,-73.9834
1415,South St & Gouverneur Ln,37211,40.7036,-74.0067
865,E 9 St & Avenue C,37107,40.7252,-73.9777
1197,Mercer St & Bleecker St,37091,40.7271,-73.9966
1368,Rivington St & Chrystie St,36995,40.7211,-73.9919
1163,Madison Av & E 51 St,36987,40.7586,-73.9751
780,E 26 St & 3 Ave,36834,40.7407,-73.9816
572,Centre St & Worth St,36749,40.7149,-74.0023
432,Bergen St & Vanderbilt Ave,36609,40.6794,-73.968
819,E 55 St & 2 Ave,36495,40.758,-73.966
838,E 7 St & Ave B,36451,40.7251,-73.9813
817,E 53 St & Madison Ave,36303,40.7597,-73.974
1276,Orchard St & Grand St,36260,40.7173,-73.9907
1081,Kenmare St & Elizabeth St,36165,40.7205,-73.9949
1144,Lispenard St & Broadway,36023,40.7194,-74.0025
813,E 51 St & 2 Ave,36011,40.7553,-73.9676
1666,W 95 St & Broadway,35961,40.7938,-73.9719
415,Bayard St & Baxter St,35882,40.716,-73.9997
1537,W 106 St & Central Park West,35868,40.7982,-73.9606
1613,W 36 St & 7 Ave,35466,40.7521,-73.9895
798,E 41 St & Madison Ave (SW corner),35448,40.7522,-73.9799
421,Bedford Ave & Nassau Ave,35382,40.7231,-73.9521
826,E 59 St & Madison Ave,35349,40.7635,-73.9711
1038,Howard St & Lafayette St,35333,40.7191,-73.9997
1611,W 35 St & 9 Ave,35263,40.7541,-73.9961
795,E 40 St & 5 Ave,35239,40.7521,-73.9816
843,E 74 St & 1 Ave,35031,40.769,-73.9548
1417,South St & Whitehall St,34977,40.7012,-74.0123
807,E 48 St & 5 Ave,34941,40.7572,-73.9781
380,Amsterdam Ave & W 82 St,34940,40.7852,-73.9767
317,7 Ave & Park Pl,34904,40.6776,-73.9732
1042,Hudson St & Reade St,34895,40.7163,-74.0091
1286,Park Ave & E 124 St,34824,40.8046,-73.9397
860,E 88 St & 1 Ave,34808,40.7783,-73.9488
1602,W 30 St & 8 Ave,34791,40.7497,-73.9952
